id,name,year,release,description,artist_id,medium_id,owned,note,image,featured,created
42,Big and Beautiful,,,"",33,1,1,,cover-big_n_beautiful.jpg,0,2017-06-04 08:32:53.064889
43,Tarkus,,,"",15,1,1,,,0,2017-06-03 14:04:04.334626
44,I.O.U.,1978,,"",7,1,1,,cover-iou.jpg,0,2017-06-04 08:40:55.909823
45,Zarathustra,,,"",36,1,1,unofficial release,,0,2017-06-03 14:04:04.334626
46,New World Order,,,"",38,1,1,,cover-nwo.jpg,0,2017-06-04 08:49:40.935885
47,Remission,,,"",35,1,1,2x LP,cover-remission.jpg,0,2017-06-04 08:57:39.488437
48,Discipline,1981,,"",17,1,1,,cover-discipline.jpg,0,2017-06-04 08:37:36.400950
49,No Love Deep Web,,,"",39,1,1,graphic cover,cover-no_love_deeb_web.jpg,1,2017-06-03 14:04:04.334626
50,Bottomless Pit,2016,2547914521,"",39,1,1,,cover-bottomless.jpg,0,2017-06-04 08:34:58.832567
51,Who Do You Think You Aren't?,,,"",40,1,1,,,0,2017-06-03 14:04:04.334626
52,Camembert Electronique,1971,,"",42,1,1,,cover-camembert.jpg,0,2017-06-04 08:35:58.833372
53,Vaya,,,"",3,2,1,"10"" pink EP",cover-vaya.jpg,1,2017-06-03 14:04:04.334626
54,Free Hand,1975,Chrystalis - 6307 556,"",1,1,1,,cover-free_hand.jpg,0,2017-06-03 14:26:11.362989
55,in•ter a•li•a,2017,RISE 369-1,"",3,1,1,"Half Bone & Half Beer with Bone Splatter, limited to 500 pcs.",cover-interalia.jpg,1,2017-06-03 14:45:10.434251
